rank,stadium,seating_capacity,region,country,city,image,home_team,latitude,longitude
221,Greenfield International Stadium,50000,South Asia,India,Trivandrum,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Greenfield_International_Stadium_Kerala.jpg/150px-Greenfield_International_Stadium_Kerala.jpg,[],8.5715674,76.8843885
222,EMS Stadium,50000,South Asia,India,Kozhikode,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kozhikode_EMS_Stadium.jpg/150px-Kozhikode_EMS_Stadium.jpg,"['India national football team', 'Gokulam Kerala FC']",11.2564518,75.7848954
223,KD Singh Babu Stadium,50000,South Asia,India,Lucknow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/K_D_Singh_Babu_Stadium.jpg/150px-K_D_Singh_Babu_Stadium.jpg,[],26.8556591,80.9376905
224,Eden Park,50000,Oceania,New Zealand,Auckland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Auckland_EdenPark.jpg/150px-Auckland_EdenPark.jpg,"['Auckland Blues', 'New Zealand Warriors']",-36.8749538,174.7447562
225,Estdio 11 de Novembro,50000,Africa,Angola,Luanda,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Football_stadium_%286178263468%29.jpg/150px-Football_stadium_%286178263468%29.jpg,"['Angola national football team', 'Primeiro de Agosto', 'Petro Luanda']",-8.9699969,13.2833034
226,Henan Provincial Stadium,50000,East Asia,China,Zhengzhou Henan,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],34.768223,113.6643187
227,Jiangxi Olympic Sports Center,50000,East Asia,China,Nanchang Jiangxi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],28.673689,116.02899
228,MaxMorlockStadion,50000,Europe,Germany,Nuremberg,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Frankenstadion_2.JPG/150px-Frankenstadion_2.JPG,['1. FC Nürnberg'],49.4262526,11.1257076
229,June 11 Stadium,50000,Africa,Libya,Tripoli,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/11_June_Stadium_BenTaher.jpg/150px-11_June_Stadium_BenTaher.jpg,"['Libya', 'Al-Ahly SC', 'Al-Ittihad Tripoli', 'Al-Madina SC']",32.860862,13.1353874
230,Xinjiang Sports Centre Stadium,50000,East Asia,China,Urumqi Xinjiang,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],43.880125,87.561102
231,Kim Ilsung Stadium,50000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/North_Korea_v_Philippines%2C_8_October_2015_F.png/150px-North_Korea_v_Philippines%2C_8_October_2015_F.png,['Pyongyang City Sports Club'],39.0438197,125.7577445
232,EDION Stadium Hiroshima,50000,East Asia,Japan,Hiroshima,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Big_Arch_Stadium_Panorama.jpg/150px-Big_Arch_Stadium_Panorama.jpg,['Sanfrecce Hiroshima'],34.4407476,132.3943687
233,Pars Shiraz Stadium,50000,West Asia,Iran,Shiraz,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Pars_Stadium_Photos_Image_6.jpg/150px-Pars_Stadium_Photos_Image_6.jpg,['Fajr Sepasi Shiraz FC'],29.5650292,52.4914944
234,Stade du 26 mars,50000,Africa,Mali,Bamako,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Stade_du_26-mars.png/150px-Stade_du_26-mars.png,['Stade Malien'],12.6043064,-7.9219251
235,Stade Abdoulaye Wade,50000,Africa,Senegal,Dakar,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,['Senegal national football team'],14.732484,-17.2008415
236,Sultan Mizan Zainal Abidin Stadium,50000,Southeast Asia,Malaysia,Kuala Terengganu,https://upload.wikimedia.org/wikipedia/commons/thumb/0/00/Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg/150px-Sultan_Mizan_Zainal_Abidin_Stadium_%28Night%29_2021.jpg,['Terengganu FA'],5.3697966,103.1055655
237,Estadio Akron,49850,North America,Mexico,Guadalajara,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Omnilife_Stadium.png/150px-Omnilife_Stadium.png,['C.D. Guadalajara'],20.6817764,-103.4626455
238,Levy Mwanawasa Stadium,49800,Africa,Zambia,Lusaka,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,['Zesco United'],-15.4154677,28.2773267
239,FritzWalterStadion,49780,Europe,Germany,Kaiserslautern,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/Kaiserslautern_18.JPG/150px-Kaiserslautern_18.JPG,['1. FC Kaiserslautern'],49.4341714,7.7768069
240,Estadio Jos Amalfitani,49540,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Argentina_A_vs_Inglaterra_A_02.JPG/150px-Argentina_A_vs_Inglaterra_A_02.JPG,['CA Vélez Sársfield'],-34.635406,-58.5206968
241,Camille Chamoun Sports City Stadium,49500,West Asia,Lebanon,Beirut,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png/150px-Camille_Chamoun_Sports_City_Stadium_2018_-_Beirut_derby_%28Nejmeh_fans%29.png,"['Lebanon national football team', 'Al Ahed FC', 'Al Ansar FC', 'Nejmeh SC']",33.8670115,35.496098
242,Miyagi Stadium,49133,East Asia,Japan,Rifu Miyagi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/MiyagiStadiumTrackField.jpg/150px-MiyagiStadiumTrackField.jpg,['Vegalta Sendai'],38.3354303,140.9505668
243,Incheon Munhak Stadium,49084,East Asia,South Korea,Incheon,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Munhak_Stadium_Corner.jpg/150px-Munhak_Stadium_Corner.jpg,[],37.4350619,126.6907212
244,HeinzvonHeidenArena,49000,Europe,Germany,Hanover,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/HDI_Arena%2C_WM_Stadion_2006.jpg/150px-HDI_Arena%2C_WM_Stadion_2006.jpg,['Hannover 96'],52.360017,9.731225
245,Parc des Princes,48712,Europe,France,Paris,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/PSG-Nantes_Parc_des_Princes_05.jpg/150px-PSG-Nantes_Parc_des_Princes_05.jpg,['Paris Saint-Germain'],48.8414356,2.2530484
246,Stadium of Light,48707,Europe,England,Sunderland Tyne and Wear,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Stadium_of_Light%2C_Sunderland_afc.jpg/150px-Stadium_of_Light%2C_Sunderland_afc.jpg,['Sunderland AFC'],54.914561,-1.388371
247,Estadio Nacional,48665,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Adios_Matador.jpg/150px-Adios_Matador.jpg,"['Chile national football team', 'CF Universidad de Chile']",-33.4646356,-70.6106698
248,Nelson Mandela Bay Stadium,48459,Africa,South Africa,Port Elizabeth Eastern Cape,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg/150px-Nelson_Mandela_Stadium_in_Port_Elizabeth_%28cropped%29.jpg,['Chippa United FC'],-33.9378928,25.5992306
249,Estadio Toms Adolfo Duc,48314,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Estadio_huracan_interior_tribuna_gcba.jpg/150px-Estadio_huracan_interior_tribuna_gcba.jpg,['CA Huracán'],-34.6428277,-58.3965507
250,Jinnah Sports Stadium,48200,South Asia,Pakistan,Islamabad,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Jinnah_Sports_Stadium_track_and_field.jpg/150px-Jinnah_Sports_Stadium_track_and_field.jpg,['Pakistan national football team'],33.7004331,73.0928118
251,Estadio Libertadores de Amrica,48069,South America,Argentina,Avellaneda,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Estadio_Libertadores_de_America_2014.JPG/150px-Estadio_Libertadores_de_America_2014.JPG,['Club Atlético Independiente'],-34.6702197,-58.3713407
252,Free State Stadium,48000,Africa,South Africa,Bloemfontein Free State,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Free_State_Stadium1.jpg/150px-Free_State_Stadium1.jpg,"['Bloemfontein Celtic', 'Toyota Cheetahs']",-29.1173278,26.2087883
253,Nagai Stadium,47816,East Asia,Japan,Osaka,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Nagai_stadium20040717.jpg/150px-Nagai_stadium20040717.jpg,"['Cerezo Osaka', 'NTT DoCoMo Red Hurricanes Osaka']",34.611305,135.5186591
254,Neo Qumica Arena,47605,South America,Brazil,So Paulo So Paulo,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg/150px-Corinthians_x_Gr%C3%AAmio_-_Brasileir%C3%A3o_2016.jpg,['Corinthians'],-23.5453134,-46.4742292
255,Rogers Centre,47568,North America,Canada,Toronto Ontario,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Toronto_-_ON_-_Rogers_Centre2.jpg/150px-Toronto_-_ON_-_Rogers_Centre2.jpg,"['Toronto FC', 'Toronto Argonauts']",43.6415758,-79.3894282
256,Estadio Monumental,47347,South America,Chile,Santiago,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Estadio_Monumental_2009.jpg/150px-Estadio_Monumental_2009.jpg,['Colo-Colo'],-33.5065938,-70.6059776
257,Stadio Artemio Franchi,47282,Europe,Italy,Florence,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Soccer_in_Florence%2C_Italy%2C_2007.jpg/150px-Soccer_in_Florence%2C_Italy%2C_2007.jpg,['ACF Fiorentina'],43.7815577,11.2831361
258,Estadio Ciudad de Lans  Nstor Daz Prez,47027,South America,Argentina,Lans,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG/150px-Editat%C3%B3n_Club_Lan%C3%BAs_-_Instalaciones_%288%29.JPG,['CA Lanús'],-34.7172622,-58.3843612
259,Estadio Metropolitano Roberto Melndez,46788,South America,Colombia,Barranquilla,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Estadio_Metropolitano_de_Baranquilla_2011.jpg/150px-Estadio_Metropolitano_de_Baranquilla_2011.jpg,"['Colombia national football team', 'Atlético Junior']",10.9269606,-74.8005364
260,Estdio Olmpico Nilton Santos,46831,South America,Brazil,Rio de Janeiro Rio de Janeiro,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg/150px-Est%C3%A1dio_Municipal_Jo%C3%A3o_Havelange_14072007.jpg,['Botafogo FR'],-22.8932749,-43.2923128
261,Itaipava Arena Pernambuco,46154,South America,Brazil,So Loureno da Mata Pernambuco,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Panorama_of_Arena_Pernambuco.jpg/150px-Panorama_of_Arena_Pernambuco.jpg,['Náutico'],-8.0406625,-35.0081868
262,Arena MRV,46000,South America,Brazil,Belo Horizonte Minas Gerais,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg/150px-Arena_MRV_em_obras_vista_da_Via_Expressa_%28dezembro_de_2022%29.jpg,['C Atlético Mineiro'],-19.9300061,-44.0138902
263,Estdio Paulo Constantino,45954,South America,Brazil,Presidente Prudente So Paulo,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg/150px-Derby_Paulista_%28Corinthians-Palmeiras%29_Paulist%C3%A3o_2009.jpg,['Grêmio Prudente'],-22.0985498,-51.4148828
264,Estadio Atanasio Girardot,45739,South America,Colombia,Medelln,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Atanasio_Girardot_Stadium.jpg/150px-Atanasio_Girardot_Stadium.jpg,"['Atlético Nacional', 'Independiente Medellín']",6.2573129,-75.5893973
265,Estadio Ramn Snchez Pizjun,45500,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/150px-Sevilla2-1Lega20182.jpg,['Sevilla FC'],37.3840863,-5.9709778
266,Adrar Stadium,45480,Africa,Morocco,Agadir,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Stade-Adrar2019.png/150px-Stade-Adrar2019.png,['Hassania Agadir'],30.427483,-9.54025
267,Lukoil Arena,45360,Europe,Russia,Moscow,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/Match_veteranov_Spartaka_%2813%29.jpg/150px-Match_veteranov_Spartaka_%2813%29.jpg,['Spartak Moscow'],55.817711,37.440214
268,Grand stade de Marrakech,45240,Africa,Morocco,Marrakesh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Stade_de_marrakech.jpg/150px-Stade_de_marrakech.jpg,['Kawkab Marrakech'],31.706055,-7.9808083
269,Mandela National Stadium,45202,Africa,Uganda,Kampala,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Mandela_National_Stadium%2C_Uganda.JPG/150px-Mandela_National_Stadium%2C_Uganda.JPG,['Uganda national football team'],0.3470744,32.6593519
270,Tarczyski Arena Wrocaw,45105,Europe,Poland,Wrocaw,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg/150px-Wroc%C5%82aw_Municipal_Stadium_-_Euro_2012_%28panorama%29.jpg,['Śląsk Wrocław'],51.1409589,16.9422782
271,Kazan Arena,45105,Europe,Russia,Kazan,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/Poland_v._Colombia_%2842095441565%29.jpg/150px-Poland_v._Colombia_%2842095441565%29.jpg,['Rubin Kazan'],55.821002,49.1608481
272,Estadio Inca Garcilaso de la Vega,45056,South America,Peru,Cusco,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Estadio_garcilaso_cienciano.jpg/150px-Estadio_garcilaso_cienciano.jpg,"['CS Cienciano', 'Deportivo Garcilaso', 'Cusco FC']",-13.5252114,-71.9664377
273,Estdio da Machava,45000,Africa,Mozambique,Maputo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,['Mozambique national football team'],-25.9172382,32.5263304
274,Stadion Gelora Bung Tomo,45000,Southeast Asia,Indonesia,Surabaya East Java,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,['Persebaya Surabaya'],-7.2231649,112.6227852
275,Stadion Harapan Banga,45000,Southeast Asia,Indonesia,Banda Aceh Aceh,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"['Persiraja', 'Aceh United']",5.5226087,95.3237899
276,Estadio General Pablo Rojas,45000,South America,Paraguay,Asuncin,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Estadio_General_Pablo_Rojas.jpg/150px-Estadio_General_Pablo_Rojas.jpg,['Club Cerro Porteño'],-25.2998906,-57.6374103
277,Stade Mohammed V,45000,Africa,Morocco,Casablanca,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Stade_Mohamed_V%2C_Casablanca.jpg/150px-Stade_Mohamed_V%2C_Casablanca.jpg,"['Wydad', 'Raja']",33.5829258,-7.6471526
278,Latakia Sports City Stadium,45000,West Asia,Syria,Latakia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],35.5605456,35.7446599
279,Zibo Sports Centre Stadium,45000,East Asia,China,Zibo Shandong,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],36.8137025,117.9929318
280,Weifang Sports Centre Stadium,45000,East Asia,China,Weifang Shandong,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],36.717514,119.128734
281,Yantai Sports Park Stadium,45000,East Asia,China,Yantai Shandong,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],37.4680918,121.4591871
282,Stadium Tuanku Abdul Rahman,45000,Southeast Asia,Malaysia,Seremban,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg/150px-Stadium_Tuanku_Abdul_Rahman%2C_Paroi.jpg,"['ATM FA', 'Negeri Sembilan']",2.726602,101.9798899
283,Stade du Complexe sportif de Fs,45000,Africa,Morocco,Fes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Complexe_sportif_de_F%C3%A8s.jpg/150px-Complexe_sportif_de_F%C3%A8s.jpg,"['Wydad de Fès', 'Maghreb de Fès']",34.0522882,-5.0045952
284,Lagos National Stadium,45000,Africa,Nigeria,Lagos,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,['Nigeria national football team'],6.5243793,3.3792057
285,Egyptian Army Stadium,45000,Africa,Egypt,Suez,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],29.9577604,32.5412893
286,Toyota Stadium,45000,East Asia,Japan,Toyota City Aichi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/JPNxGEO20180623_%283%29.jpg/150px-JPNxGEO20180623_%283%29.jpg,"['Nagoya Grampus', 'Toyota Verblitz']",35.0844793,137.1709193
287,Zayed Sports City Stadium,45000,West Asia,United Arab Emirates,Abu Dhabi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg/150px-Abu_Dhabi_Zayed_Sports_City_Stadium_2.jpg,[],24.415811,54.4543442
288,Red Bull Arena,44345,Europe,Germany,Leipzig,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Leipzig_stadium.jpg/150px-Leipzig_stadium.jpg,['RB Leipzig'],51.3457824,12.3482689
289,Estdio Governador Alberto Tavares Silva,44200,South America,Brazil,Teresina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Est%C3%A1dio_Governador_Alberto_Tavares_Silva.jpg/150px-Est%C3%A1dio_Governador_Alberto_Tavares_Silva.jpg,"['River AC', 'EC Flamengo', 'Piauí EC', 'SE Tiradentes', 'Auto EC']",-5.1163546,-42.7931291
290,Estdio Universitrio Pedro Pedrossian,44200,South America,Brazil,Campo Grande Mato Grosso do Sul,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/0253l.jpg/150px-0253l.jpg,"['EC Comercial', 'Operário FC']",-20.5019956,-54.6100501
291,Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Munsu_20121110_204310_5.jpg/150px-Munsu_20121110_204310_5.jpg,['Ulsan HD FC'],35.5352422,129.2595839
292,Arena Pantanal,44097,South America,Brazil,Cuiab Mato Grosso,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Arena_Pantanal.jpg/150px-Arena_Pantanal.jpg,"['Cuiabá', 'Mixto EC']",-15.6040194,-56.1216245
293,Arena da Amaznia,44000,South America,Brazil,Manaus Amazonas,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Arena_Amaz%C3%B4nia_Manaus.jpg/150px-Arena_Amaz%C3%B4nia_Manaus.jpg,['Nacional FC'],-3.0832457,-60.0281392
294,Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20121003_Suwon_vs_Seoul.jpg/150px-20121003_Suwon_vs_Seoul.jpg,['Suwon Samsung Bluewings'],37.2864742,127.036866
295,Stadion Utama Riau,43923,Southeast Asia,Indonesia,Pekanbaru Riau,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Riau_Main_Stadium_%28cropped%29.JPG/150px-Riau_Main_Stadium_%28cropped%29.JPG,['PSPS Pekanbaru'],0.4836669,101.3895154
296,Allianz Parque,43713,South America,Brazil,So Paulo So Paulo,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg/150px-Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg,['SE Palmeiras'],-23.5276207,-46.6784662
297,Shandong Provincial Stadium,43700,East Asia,China,Jinan Shandong,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SHANGDONGSPORTS.jpg/150px-SHANGDONGSPORTS.jpg,[],36.6471197,117.0085871
298,Polsat Plus Arena Gdask,43615,Europe,Poland,Gdask,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg/150px-Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg,['Lechia Gdańsk'],54.3899458,18.6403027
299,Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Platea_Este_Nuevo_Gasometro_1.jpg/150px-Platea_Este_Nuevo_Gasometro_1.jpg,['CA San Lorenzo de Almagro'],-34.6520743,-58.4401202
300,Stadion Miejski w Poznaniu,43269,Europe,Poland,Pozna,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Stadion_Miejski_w_Poznaniu_2013_panorama.jpg/150px-Stadion_Miejski_w_Poznaniu_2013_panorama.jpg,"['Lech Poznań', 'Warta Poznań']",52.3977061,16.8580903
301,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Vasil_Levski_National_Stadium_2022.jpg/150px-Vasil_Levski_National_Stadium_2022.jpg,['Bulgaria national football team'],42.6882036,23.3345562
302,Estadio Universidad San Marcos,43000,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Vista_estadios_san_marcos.jpg/150px-Vista_estadios_san_marcos.jpg,['Deportivo Universidad San Marcos'],-12.0574224,-77.0832648
303,Ullevi,43000,Europe,Sweden,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ullevi_stadium%2C_23_june_2018.png/150px-Ullevi_stadium%2C_23_june_2018.png,"[""Sweden women's national football team""]",57.7059713,11.987299
304,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,[],40.871407,121.07158
305,Estadio General Santander,42901,South America,Colombia,Ccuta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cucuta704.jpg/150px-Cucuta704.jpg,['Cúcuta Deportivo'],7.8947296,-72.5019955
