rank,stadium,seating_capacity,region,country,city,image,home_team,latitude,longitude
1,Rungrado 1st of May Stadium,114000,East Asia,North Korea,Pyongyang,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Arirang_Mass_Games_12.JPG/150px-Arirang_Mass_Games_12.JPG,"['Korea DPR national football team', ""Korea DPR women's national football team"", 'April 25']",39.0494096,125.7752831
2,Michigan Stadium,107601,North America,United States,Ann Arbor Michigan,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg/150px-Real_Madrid_vs._Machester_United_August_2nd%2C_2014.jpg,['Michigan Wolverines football'],42.2658365,-83.7486956
3,Ohio Stadium,102780,North America,United States,Columbus Ohio,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Panoramic_view_of_Ohio_Stadium.jpg/150px-Panoramic_view_of_Ohio_Stadium.jpg,['Ohio State Buckeyes football'],40.0022328,-83.0196892
4,Melbourne Cricket Ground,100024,Oceania,Australia,Melbourne Victoria,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/MCG_Panorama_24_July_2015.jpg/150px-MCG_Panorama_24_July_2015.jpg,"['Australia national cricket team', 'Victoria cricket team', 'Melbourne Cricket Club', 'Melbourne Stars', 'Melbourne FC', 'Richmond FC', 'Collingwood FC', 'Hawthorn FC']",-37.8199669,144.9834493
5,Camp Nou,99354,Europe,Spain,Barcelona Catalonia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg/150px-Camp_Nou_Experience_%28_Ank_Kumar%2C_INFOSYS_Limited_%29_07.jpg,['FC Barcelona'],41.380896,2.1228198
6,Estadio Azteca,95500,North America,Mexico,Mexico City,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Panor%C3%A1mica_esquina_noreste.jpg/150px-Panor%C3%A1mica_esquina_noreste.jpg,"['Club América', 'Cruz Azul', 'Mexico national football team']",19.3028607,-99.1505277
7,FNB Stadium,94736,Africa,South Africa,Johannesburg Gauteng,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg/150px-First_game_of_the_2010_FIFA_World_Cup%2C_South_Africa_vs_Mexico.jpg,"['South Africa national football team', 'Kaizer Chiefs']",-26.2347569,27.9826554
8,New Administrative Capital Stadium,93940,Africa,Egypt,New Administrative Capital,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/The_New_administrative_stadium_of_Egypt.jpg/150px-The_New_administrative_stadium_of_Egypt.jpg,['Egypt national football team'],29.8915188,31.6731123
9,Rose Bowl Stadium,92800,North America,United States,Pasadena California,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Rose_Bowl%2C_panorama.jpg/150px-Rose_Bowl%2C_panorama.jpg,['UCLA Bruins'],34.1613284,-118.1676462
10,Cotton Bowl Stadium,92100,North America,United States,Dallas Texas,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg/150px-2019_State_Fair_Classic_01_%28Cotton_Bowl%29.jpg,[],32.7796106,-96.7595891
